form,lemma,POS,morph
omnes,omnis,PROind,Case=Acc|Numb=Plur|Gend=MascFem
Inserto,insero2,VER,Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
terrore,terror,NOMcom,Case=Abl|Numb=Sing
uiros,uir,NOMcom,Case=Acc|Numb=Plur
palamque,palam,ADV,Deg=Pos
{palamque},que,CON,MORPH=empty
uidebant,uideo,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
Temnendum,temno,VER,Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass
non,non,ADVneg,MORPH=empty
esse,sum1,VER,Mood=Inf|Tense=Pres|Voice=Act
deum,deus,NOMcom,Case=Gen|Numb=Sing
qui,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Masc
non,non,ADVneg,MORPH=empty
foret,sum1,VER,Numb=Sing|Mood=Par|Tense=Fut|Voice=Act
absens,absum1,VER,Case=Nom|Numb=Sing|Gend=Com
Haec,hic1,PROdem,Case=Acc|Numb=Plur|Gend=Neut
inter,inter,PRE,MORPH=empty
domini,dominus,NOMcom,Case=Gen|Numb=Sing
cognoscit,cognosco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
uoce,uox,NOMcom,Case=Abl|Numb=Sing
sacerdos,sacerdos,NOMcom,Case=Nom|Numb=Sing
Vina,uinum,NOMcom,Case=Acc|Numb=Plur
negata,nego,VER,Case=Acc|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
sibi,sui1,PROref,Case=Dat|Numb=Sing
mellitaque,mellitus,ADJqua,Case=Acc|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Dep
{mellitaque},que,CON,MORPH=empty
sicera,sicer,ADJqua,Case=Acc|Numb=Plur
natis,natus1,NOMcom,Case=Dat|Numb=Plur
Ne,ne4,CONsub,MORPH=empty
quando,quando3,CONsub,Deg=Pos
dominum,dominus,NOMcom,Case=Acc|Numb=Sing
positas,pono,VER,Case=Acc|Numb=Plur|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
uenerentur,ueneror,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Dep|Person=3
ad,ad2,PRE,MORPH=empty
aras,ara,NOMcom,Case=Acc|Numb=Plur
Halitus,Halitus,NOMpro,Case=Nom|Numb=Sing
offendat,offendo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
uinoso,uinosus,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
ex,ex,PRE,MORPH=empty
pectore,pectus,NOMcom,Case=Abl|Numb=Sing
missus,mitto,VER,Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
Communis,communis,ADJqua,Case=Nom|Numb=Sing|Gend=MascFem|Deg=Pos
populo,populus1,NOMcom,Case=Dat|Numb=Sing
distinguit,distinguo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
regula,regula,NOMcom,Case=Abl|Numb=Sing
uictus,uictus,NOMcom,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
Et,et2,CONcoo,MORPH=empty
quid,quis1,PROint,Case=Acc|Numb=Sing|Gend=Neut
uel,uel2,CONcoo,MORPH=empty
liceat,licet1,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
uel,uel2,CONcoo,MORPH=empty
fas,fas,NOMcom,Case=Ind
adsumere,assumo,VER,Mood=Inf|Tense=Pres|Voice=Act
non,non,ADVneg,MORPH=empty
sit,sum1,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
Eloquitur,eloquor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
quem,qui1,PROrel,Case=Acc|Numb=Sing|Gend=Masc
nostra,noster,PROpos,Case=Nom|Numb=Plur|Gend=Neut
etiam,etiam,ADV,Deg=Pos
conuiuia,conuiuium,NOMcom,Case=Nom|Numb=Plur
morem,mos,NOMcom,Case=Acc|Numb=Sing
Caelesti,caelestis,ADJqua,Case=Abl|Numb=Sing|Gend=Com|Deg=Pos
sub,sub,PRE,MORPH=empty
lege,lex,NOMcom,Case=Abl|Numb=Sing
tenent,teneo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ne,ne4,CONsub,MORPH=empty
uultur,uultur,NOMcom,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
escis,esca,NOMcom,Case=Abl|Numb=Plur
Aut,aut,CONcoo,MORPH=empty
coruus,coruus,NOMcom,Case=Nom|Numb=Sing
picaue,pica,ADJqua,Case=Nom|Numb=Sing
{picaue},ue,CON,MORPH=empty
fiant,fio,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
neu,neue1,CONcoo,MORPH=empty
buteo,buteus,NOMcom,Case=Abl|Numb=Sing
furuus,furuus,ADJqua,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
Accipiterue,Accipiter,NOMcom,Case=Nom|Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass
{Accipiterue},ue,CON,MORPH=empty
sagax,sagax,ADJqua,Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
aut,aut,CONcoo,MORPH=empty
ore,os1,NOMcom,Case=Abl|Numb=Sing
miluus,miluus,NOMcom,Case=Nom|Numb=Sing
unco,uncus2,ADJqua,Case=Abl|Numb=Sing
Et,et2,CONcoo,MORPH=empty
quae,qui1,PROrel,Case=Acc|Numb=Sing|Gend=Fem
