form,lemma,POS,morph
et,et2,CONcoo,MORPH=empty
retorto,retorqueo,VER,Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
ad,ad2,PRE,MORPH=empty
collum,collum,NOMcom,Case=Acc|Numb=Sing
capite,caput,NOMcom,Case=Abl|Numb=Sing
ac,ac1,CONcoo,MORPH=empty
rupto,rumpo,VER,Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
vulneris,uulnus,NOMcom,Case=Gen|Numb=Sing
loco,locus,NOMcom,Case=Abl|Numb=Sing
decurrere,decurro,VER,Mood=Inf|Tense=Pres|Voice=Act
faciet,facio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
sanguinem,sanguis,NOMcom,Case=Acc|Numb=Sing
super,super2,PRE,MORPH=empty
crepidinem,crepido,NOMcom,Case=Acc|Numb=Sing
altaris,altare,NOMcom,Case=Gen|Numb=Sing
vesiculam,uesicula,NOMcom,Case=Acc|Numb=Sing
vero,uero4,CONcoo,MORPH=empty
gutturis,guttur,NOMcom,Case=Gen|Numb=Sing
et,et2,CONcoo,MORPH=empty
plumas,pluma,NOMcom,Case=Acc|Numb=Plur
projiciet,proiicio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
prope,prope2,PRE,Deg=Pos
altare,altare,NOMcom,Case=Acc|Numb=Sing
ad,ad2,PRE,MORPH=empty
orientalem,orientalis,ADJqua,Case=Acc|Numb=Sing|Gend=MascFem|Deg=Pos
plagam,plaga3,NOMcom,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
loco,locus,NOMcom,Case=Abl|Numb=Sing
in,in,PRE,MORPH=empty
quo,qui1,PROrel,Case=Abl|Numb=Sing|Gend=MascNeut
cineres,cinis,NOMcom,Case=Nom|Numb=Plur
effundi,effundo2,VER,Mood=Inf|Tense=Pres|Voice=Pass
solent,soleo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=SemDep|Person=3
confringetque,confringo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
{confringetque},que,CON,MORPH=empty
ascellas,ascella,NOMcom,Case=Acc|Numb=Plur
ejus,is,PROdem,Case=Gen|Numb=Sing|Gend=Com
et,et2,CONcoo,MORPH=empty
non,non,ADVneg,MORPH=empty
secabit,seco,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
neque,neque,ADVneg,MORPH=empty
ferro,ferrum,NOMcom,Case=Abl|Numb=Sing
dividet,diuido,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
eam,is,PROdem,Case=Acc|Numb=Sing|Gend=Fem
et,et2,CONcoo,MORPH=empty
adolebit,adoleo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
super,super2,PRE,MORPH=empty
altare,altare,NOMcom,Case=Acc|Numb=Sing
lignis,lignum,NOMcom,Case=Abl|Numb=Plur
igne,ignis,NOMcom,Case=Abl|Numb=Sing
supposito,suppono,VER,Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
Holocaustum,Holocaustus,NOMpro,Case=Nom|Numb=Sing|Gend=Neut
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et2,CONcoo,MORPH=empty
oblatio,oblatio,NOMcom,Case=Nom|Numb=Sing
